gene_id	module_no	colors
ENSG00000121653	1	turquoise
ENSG00000121671	4	yellow
ENSG00000121680	3	brown
ENSG00000121690	2	blue
ENSG00000121691	2	blue
ENSG00000121716	1	turquoise
ENSG00000121741	10	purple
ENSG00000121749	3	brown
ENSG00000121753	16	lightcyan
ENSG00000121766	3	brown
ENSG00000121769	2	blue
ENSG00000121774	1	turquoise
ENSG00000121775	5	green
ENSG00000121797	2	blue
ENSG00000121807	2	blue
ENSG00000121851	2	blue
ENSG00000121858	4	yellow
ENSG00000121864	8	pink
ENSG00000121879	17	grey60
ENSG00000121892	7	black
ENSG00000121895	5	green
ENSG00000121897	4	yellow
ENSG00000121898	16	lightcyan
ENSG00000121900	4	yellow
ENSG00000121903	1	turquoise
ENSG00000121904	1	turquoise
ENSG00000121905	2	blue
ENSG00000121931	8	pink
ENSG00000121933	22	darkgreen
ENSG00000121940	9	magenta
ENSG00000121957	1	turquoise
ENSG00000121964	2	blue
ENSG00000121966	7	black
ENSG00000121988	1	turquoise
ENSG00000121989	4	yellow
ENSG00000122008	1	turquoise
ENSG00000122025	4	yellow
ENSG00000122026	3	brown
ENSG00000122033	3	brown
ENSG00000122034	1	turquoise
ENSG00000122035	2	blue
ENSG00000122042	2	blue
ENSG00000122068	3	brown
ENSG00000122085	5	green
ENSG00000122121	22	darkgreen
ENSG00000122122	4	yellow
ENSG00000122126	17	grey60
ENSG00000122140	3	brown
ENSG00000122176	18	lightgreen
ENSG00000122188	12	tan
ENSG00000122203	3	brown
ENSG00000122218	7	black
ENSG00000122223	5	green
ENSG00000122224	5	green
ENSG00000122254	7	black
ENSG00000122257	1	turquoise
ENSG00000122299	9	magenta
ENSG00000122335	26	darkorange
ENSG00000122359	14	cyan
ENSG00000122367	1	turquoise
ENSG00000122376	2	blue
ENSG00000122378	2	blue
ENSG00000122386	1	turquoise
ENSG00000122390	4	yellow
ENSG00000122406	2	blue
ENSG00000122417	1	turquoise
ENSG00000122420	16	lightcyan
ENSG00000122435	1	turquoise
ENSG00000122481	3	brown
ENSG00000122482	25	orange
ENSG00000122483	1	turquoise
ENSG00000122484	12	tan
ENSG00000122490	2	blue
ENSG00000122507	8	pink
ENSG00000122512	23	darkturquoise
ENSG00000122515	1	turquoise
ENSG00000122545	8	pink
ENSG00000122547	16	lightcyan
ENSG00000122550	8	pink
ENSG00000122557	17	grey60
ENSG00000122565	1	turquoise
ENSG00000122566	1	turquoise
ENSG00000122574	17	grey60
ENSG00000122591	1	turquoise
ENSG00000122592	1	turquoise
ENSG00000122641	1	turquoise
ENSG00000122642	1	turquoise
ENSG00000122643	13	salmon
ENSG00000122644	2	blue
ENSG00000122674	2	blue
ENSG00000122678	1	turquoise
ENSG00000122679	15	midnightblue
ENSG00000122687	8	pink
ENSG00000122692	8	pink
ENSG00000122694	4	yellow
ENSG00000122696	8	pink
ENSG00000122705	3	brown
ENSG00000122707	7	black
ENSG00000122711	4	yellow
ENSG00000122729	8	pink
ENSG00000122741	1	turquoise
ENSG00000122756	14	cyan
ENSG00000122778	1	turquoise
ENSG00000122779	16	lightcyan
ENSG00000122783	3	brown
ENSG00000122786	1	turquoise
ENSG00000122859	5	green
ENSG00000122861	1	turquoise
ENSG00000122862	20	royalblue
ENSG00000122863	1	turquoise
ENSG00000122870	1	turquoise
ENSG00000122873	3	brown
ENSG00000122877	1	turquoise
ENSG00000122882	20	royalblue
ENSG00000122884	8	pink
ENSG00000122912	4	yellow
ENSG00000122952	1	turquoise
ENSG00000122958	20	royalblue
ENSG00000122965	1	turquoise
ENSG00000122966	1	turquoise
ENSG00000122970	10	purple
ENSG00000122971	4	yellow
ENSG00000122986	4	yellow
ENSG00000123064	16	lightcyan
ENSG00000123066	7	black
ENSG00000123080	12	tan
ENSG00000123091	2	blue
ENSG00000123094	1	turquoise
ENSG00000123095	6	red
ENSG00000123096	25	orange
ENSG00000123104	1	turquoise
ENSG00000123106	2	blue
ENSG00000123124	2	blue
ENSG00000123130	1	turquoise
ENSG00000123131	8	pink
ENSG00000123136	1	turquoise
ENSG00000123143	1	turquoise
ENSG00000123144	2	blue
ENSG00000123146	1	turquoise
ENSG00000123154	8	pink
ENSG00000123159	2	blue
ENSG00000123178	2	blue
ENSG00000123179	11	greenyellow
ENSG00000123191	1	turquoise
ENSG00000123200	1	turquoise
ENSG00000123213	20	royalblue
ENSG00000123219	1	turquoise
ENSG00000123240	2	blue
ENSG00000123243	27	white
ENSG00000123268	3	brown
ENSG00000123297	21	darkred
ENSG00000123329	12	tan
ENSG00000123338	4	yellow
ENSG00000123342	1	turquoise
ENSG00000123349	3	brown
ENSG00000123352	10	purple
ENSG00000123353	2	blue
ENSG00000123358	1	turquoise
ENSG00000123360	9	magenta
